ID,Confidence,R.A.,Decl.,D,Teff,logg,[Fe/H],Source
31300,0.928223,200.16859,23.74928001,20540.38405,,,,
31301,0.910156,177.997209,24.64546448,34025.31221,,,,
31302,0.939941,182.0888559,24.88978357,23742.99513,,,,
31303,0.846191,183.3248637,24.93591447,77154.79013,,,,
31304,0.8125,186.0250067,24.98345217,86605.16193,,,,
31305,0.818848,187.9948447,24.90154035,60769.30653,,,,
31306,0.927734,194.5996742,24.57682397,20609.24739,,,,
31307,0.938965,195.9204659,24.59199175,19818.26043,9187.476206,3.556698603,-1.615907972,
31308,0.942383,197.4523778,24.35497968,15131.11148,8917.958151,3.368319083,-1.466375916,N
31309,0.946777,198.1394512,24.26525949,13926.50053,,,,
31310,0.792969,205.6277308,23.43724652,51457.56494,,,,
31311,0.866699,205.7085847,23.43639368,49291.27052,,,,
31312,0.758301,206.9339819,23.25782744,44006.39316,,,,
31313,0.873535,175.07419,24.92077032,64720.13404,,,,
31314,0.952637,182.2494674,25.32179989,12967.02415,8257.2,3.118133,-2.072871,
31315,0.947754,193.3812205,25.14981481,16874.43517,,,,
31316,0.848145,195.6424069,24.92801419,61842.13675,,,,
31317,0.928223,196.6133589,24.91290311,11120.51693,9140.584726,3.382469548,-1.586344388,N
31318,0.871094,197.9641958,24.77459932,62172.50982,,,,
31319,0.605957,205.1596313,23.85798381,6256.496073,,,,
31320,0.877441,173.1847706,25.1825333,39598.63808,,,,
31321,0.95166,178.9851982,25.62419886,28821.7465,,,,
31322,0.792969,179.6341644,25.57745311,17048.1737,,,,
31323,0.951172,179.6737874,25.57577683,25068.76062,,,,
31324,0.944824,181.6029578,25.79099906,14053.24724,10667.4,4.0223,-0.638553,
31325,0.94043,182.6222516,25.78756287,33823.81705,,,,
31326,0.909668,186.6939778,25.81473469,17274.5793,8686.5,3.530051,0.211668,
31327,0.634277,186.8708341,25.6331139,26345.86561,7907.102307,3.390678443,-1.801307066,
31328,0.933105,189.6877857,25.63933526,35192.21072,,,,
31329,0.955078,191.3491055,25.68885976,28722.01449,,,,
31330,0.862793,194.5578144,25.49243436,53351.07856,,,,
31331,0.933105,194.6242761,25.33237953,21409.90525,,,,
31332,0.673828,203.5695899,24.67903103,41208.06651,,,,
31333,0.862793,203.460159,24.66530765,12478.83006,8376.9,4.136502,-1.423912,
31334,0.930664,203.8135865,24.5251622,51586.26045,9246.991563,4.059403553,-2.025413784,
31335,0.891602,174.9888288,25.73970501,44543.42486,,,,
31336,0.711914,177.2002533,25.92275035,5118.249037,8291.3,3.273779,-2.170466,N
31337,0.887207,181.4164753,26.09555611,21071.5378,,,,
31338,0.940918,185.8450462,26.19562052,28260.64258,,,,
31339,0.935059,195.5814915,25.81192155,55212.35771,,,,
31340,0.887207,203.4015918,25.13349815,18869.51436,8277.2,4.409274,-1.365676,
31341,0.916992,207.1084598,24.53577948,17715.4688,7422.1,2.423065,-1.899598,N
31342,0.782715,131.6849851,14.56281589,8238.425341,,,,
31343,0.921875,134.6314841,15.48224698,16063.45339,,,,
31344,0.741211,135.3595159,15.85182652,,9061.568592,3.674333207,-1.593873236,
31345,0.910156,135.389172,15.86222981,,,,,
31346,0.896973,144.2155247,18.38685392,33915.6898,,,,
31347,0.775391,150.7367919,20.0442907,45246.3726,,,,
31348,0.895996,150.7432072,20.03726774,32941.53267,,,,
31349,0.725586,151.964664,20.33314335,72123.07122,,,,
31350,0.793457,153.2520058,20.63288175,50045.53368,,,,
31351,0.895508,154.9530043,20.91894622,42521.01873,,,,
31352,0.723633,157.2800377,21.48782506,57113.77369,,,,
31353,0.874023,159.3611713,21.81707803,11890.50278,,,,
31354,0.82373,160.3277784,21.96234516,56317.36108,,,,
31355,0.868164,169.3536186,23.15813828,22773.41463,,,,
31356,0.765625,171.4785401,23.49353785,13414.91739,7426.8,1.824146,-2.050426,
31357,0.841309,172.6337385,23.64069007,33734.39874,,,,
31358,0.870605,175.5496245,23.78355301,12834.87471,,,,
31359,0.688477,131.1431452,14.93045971,45792.02051,9911.465356,3.603706476,-2.08565959,
31360,0.853516,131.0839559,14.91775183,,,,,
31361,0.825195,131.3459008,15.00565752,45815.71028,8582.903083,3.850216843,-1.547381533,
31362,0.90332,131.7502375,15.10917356,8834.111835,,,,
31363,0.75,133.6709864,15.60040228,63897.31978,,,,
31364,0.651855,134.4117161,15.99008358,68643.32443,,,,
31365,0.794922,134.3884178,16.00503516,21972.3112,11812.99522,3.784150218,-3.206931445,
31366,0.852051,134.4075028,16.01324172,11725.55145,8049.8,3.815843,-0.302345,
31367,0.929688,134.4482593,16.02351239,17013.66216,8746.1,3.066283,-1.518937,
31368,0.850098,138.3475629,17.20131971,10183.58423,,,,
31369,0.790039,140.0792863,17.68984865,,,,,
31370,0.812012,141.3614192,18.02207588,52109.76436,,,,
31371,0.92041,141.326716,18.0928507,,9033.05716,3.72086734,-1.593915107,
31372,0.933105,141.3855292,18.12899756,,9165.334788,3.700438663,-1.319527769,
31373,0.870117,141.6982314,18.18398052,42652.04677,,,,
31374,0.914062,142.2841661,18.30003216,40827.69334,,,,
31375,0.758789,143.3762965,18.61433047,,,,,
31376,0.600586,147.2174976,19.79405754,51546.206,9685.075169,3.454133586,-1.432113429,
31377,0.710449,148.2864379,19.94606426,19525.14004,,,,
31378,0.618652,150.2943643,20.42296732,41973.37788,,,,
31379,0.943848,150.2362119,20.48265854,24123.83876,,,,
31380,0.941895,158.5125344,22.14283038,26423.64857,,,,
31381,0.86377,163.3608972,22.95433896,12603.27532,8326.9,4.249621,-0.885207,
31382,0.884277,164.5305325,23.04126897,30779.83371,,,,
31383,0.812988,167.3893992,23.46450408,32390.89065,,,,
31384,0.64209,168.5828892,23.56673203,54328.33783,,,,
31385,0.943848,134.0790005,16.18442886,,17478.1,1.736558,-0.891682,
31386,0.925293,135.3592898,16.74451191,52282.85927,,,,
31387,0.928711,136.8344367,17.07128953,42489.52062,,,,
31388,0.69873,138.2746962,17.65924045,67704.82628,,,,
31389,0.89502,138.1751443,17.64760959,25685.64497,,,,
31390,0.937012,141.2771472,18.58187336,27195.10825,,,,
31391,0.840332,141.4464858,18.46560184,7834.500066,,,,
31392,0.864746,141.6557041,18.67444967,12259.71471,,,,
31393,0.942383,145.3295812,19.61394051,35776.80637,,,,
31394,0.863281,146.1126358,19.76913071,11112.35364,8934.2,3.430046,-2.078265,N
31395,0.924805,155.9841071,22.15908025,20078.63417,,,,
31396,0.824219,158.2686268,22.50328974,55848.59522,,,,
31397,0.671387,171.1104757,24.32990744,,,,,
