B_ID,Confidence,R.A.,Decl.,Distance,T_eff
86,0.629883,10.56239652,0.724760061,64.26610807,7949.941794
87,0.652832,10.57997518,0.779968755,52.63298487,8014.201894
88,0.905273,10.63935771,0.788104014,19.01227117,-9999
89,0.931152,18.57019838,0.731815525,37.7994952,8596.002508
90,0.887207,37.81131401,0.682965596,35.66054695,-9999
91,0.893066,39.48288048,0.69648971,54.58131567,8624.412708
92,0.933594,39.53377399,0.818996364,39.24045189,-9999
93,0.68457,45.94221708,0.666873564,61.57862681,-9999
94,0.967285,52.94059945,0.754601716,17.21757566,-9999
95,0.803711,338.9625476,1.076712952,46.78687083,8351.363725
96,0.918457,345.4360947,1.070787327,9.469607967,8773.121997
97,0.925781,350.5291895,1.155290521,-9999,-9999
98,0.848145,351.8979689,1.13894226,37.26473181,-9999
99,0.873047,352.0904819,1.217636488,19.89179615,8221.798159
100,0.908203,352.0787049,1.273426227,27.21372551,-9999
101,0.928711,4.030834009,1.26484505,28.44801708,8257.1435
102,0.902832,9.549579828,1.091858768,33.28648985,8132.832396
103,0.628906,16.35132821,1.143083621,61.84520024,8054.880806
104,0.919922,18.99171556,1.218879157,17.18074532,8513.260606
105,0.729004,20.57516222,1.130386502,43.51149446,-9999
106,0.950684,20.6747746,1.200384011,12.94410419,8913.951184
107,0.812012,27.28703567,1.228375056,41.72938652,-9999
108,0.850098,27.23304506,1.273161866,9.915531533,-9999
109,0.607422,27.34584585,1.256106106,58.36627809,8716.482284
110,0.899414,37.76336173,1.138850303,34.36639678,8472.749561
111,0.833984,39.35950263,1.079443573,43.5167046,-9999
112,0.720703,41.18369889,1.220598819,-9999,-9999
113,0.852539,47.34196153,1.098770266,38.8273723,-9999
114,0.833008,56.46302684,1.184835175,52.79077041,-9999
115,0.90918,45.52387326,-1.197363815,31.49024213,8621.959644
116,0.870117,60.86518888,-1.042676977,17.86479348,8755.882073
117,0.938965,37.84897023,-0.696613102,26.82921711,8666.926888
118,0.799805,38.3525018,-0.648009678,63.91252859,8384.110006
119,0.601074,39.05699616,-0.639621047,50.12518633,-9999
120,0.945312,38.9809951,-0.742873841,28.51766743,-9999
121,0.941406,60.91370032,-0.730163216,18.87530596,8497.121323
122,0.82959,65.63633247,-0.653508525,24.72145341,-9999
123,0.858887,36.59922573,-0.386774268,62.67379605,8662.207818
124,0.916504,37.80052407,-0.348849062,40.35431688,8016.609717
125,0.964844,50.1440103,-0.263650921,12.49401434,8683.059123
126,0.952637,52.76179062,-0.307766675,-9999,-9999
127,0.818359,54.51043495,-0.208270232,44.6075119,8551.405178
128,0.615723,37.29093593,0.030583057,32.11441387,6445.955136
129,0.899414,39.19325228,0.154642439,54.71898085,8706.602233
130,0.869629,40.29725952,0.100831609,43.85791687,-9999
131,0.850586,43.51130088,0.049651973,37.28309865,8672.718052
132,0.817871,45.12426173,0.072488503,54.43296609,8194.199204
133,0.733398,50.06015964,0.087949435,76.68245351,8375.988302
134,0.92627,50.76180503,0.099880578,18.79645719,-9999
135,0.691406,54.8065567,0.16026083,59.65955368,-9999
136,0.742188,62.44819791,0.15739207,51.60645178,8841.579786
137,0.858398,62.66034758,0.21093497,13.39849443,8575.151019
138,0.80127,66.56200426,0.151537563,6.44786595,8370.956776
139,0.679688,36.50013214,0.543010849,69.3352363,7185.894017
140,0.87793,37.64544712,0.504214547,47.10272144,8467.180004
